Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,,,1,0:00,,,,,
,,,,0:15,1.99,,,3.14,260
,,,,0:30,2,,,3.29,260
,,,,0:45,2,,,3.30,262
,,,,1:00,2,,,3.27,270
,,,,1:15,1.99,2.28,,3.53,252
,,,,1:30,2,,,4.39,234
,,,,1:45,2,,,3.95,207
,,,,2:00,2.04,,,3.51,200
,,,,2:15,2.01,,,3.17,192
,,,,2:30,1.99,,,2.85,270
,,,,2:45,2,,,2.68,312
,,,,3:00,,,,,
,,,,3:15,,,,,
,,,,3:30,,,,,
,,,,3:45,,,,,
,,,,4:00,,,,,
,,,,4:15,,,,,
,,,,4:30,,,,,
,,,,4:45,,,,,
,,,,5:00,,,,,
,,,,5:15,,,,,
,,,,5:30,,,,,
,,,,5:45,2,,2.22,,286
,,,,6:00,1.99,,3.06,,236
,,,,6:15,2.09,2.52,3.73,,228
,,,,6:30,2,2.84,4.22,,236
,,,,6:45,2,2.98,4.44,,228
,,,,7:00,1.98,2.84,4.99,,244
,,,,7:15,1.98,2.91,5.25,,213
,,,,7:30,2.05,3.21,5.64,,186
,,,,7:45,1.99,3.29,5.67,,197
,,,,8:00,2.04,3.3,5.47,,249
,,,,8:15,2.14,3.62,5.7,,241
,,,,8:30,2,3.84,6.21,,228
,,,,8:45,2.1,3.6,6.37,,220
,,,,9:00,2,3.83,6.18,,215
,,,,9:15,2.3,3.58,6.05,,213
,,,,9:30,2.49,,5.75,,210
,,,,9:45,2.01,4.76,6.02,,213
,,,,10:00,2.19,4.44,6.37,,186
,,,,10:15,2.19,4.51,6.05,,260
,,,,10:30,2.24,4.62,5.9,,310
,,,,10:45,2.36,4.51,6.02,,231
,,,,11:00,2.36,4.48,6.37,,315
,,,,11:15,2.6,4.65,6.87,,289
,,,,11:30,2.16,3.89,7.38,,213
,,,,11:45,2.42,,7.31,,236
,,,,12:00,2.31,4.52,7.34,,302
,,,,12:15,2.31,,7.69,,165
,,,,12:30,2.08,,8.17,,173
,,,,12:45,2.04,4.24,8.73,,215
,,,,13:00,2.36,4.76,9.42,,283
,,,,13:15,2.2,4.62,9.62,,268
,,,,13:30,2.14,5.45,9.37,,255
,,,,13:45,2.66,4.78,9.66,,257
,,,,14:00,2.37,5.87,9.47,,260
,,,,14:15,2.19,4.49,9.57,,249
,,,,14:30,2.14,4.73,8.77,,249
,,,,14:45,2.01,4.76,8.47,,257
,,,,15:00,2.1,5.8,8.86,,257
,,,,15:15,2.2,6.6,8.95,,257
,,,,15:30,2.09,4.49,8.95,,239
,,,,15:45,2.04,5.45,8.51,,231
,,,,16:00,2,5.33,8.47,,226
,,,,16:15,2.09,5.64,7.2,,215
,,,,16:30,2.24,5.77,6.84,,228
,,,,16:45,2.08,5.9,6.87,,283
,,,,17:00,2,6.41,6.08,,255
,,,,17:15,2.3,5.77,6.21,,315
,,,,17:30,2,4.36,6.2,,239
,,,,17:45,1.99,4.36,5.64,,236
,,,,18:00,2,5.07,5.61,,239
,,,,18:15,1.99,4.65,5.64,,239
,,,,18:30,2.05,4.14,5.36,,213
,,,,18:45,2.05,3.62,4.84,,210
,,,,19:00,2.31,3.05,4.86,,231
,,,,19:15,2.33,,4.99,,213
,,,,19:30,2,3.89,4.3,,207
,,,,19:45,2.13,5.04,4.33,,218
,,,,20:00,2.05,4.9,3.89,,197
,,,,20:15,2.31,4.76,3.6,,241
,,,,20:30,2,3.7,2.9,,268
,,,,20:45,2.04,3.7,3.12,,239
,,,,21:00,2.08,5.07,2.58,,249
,,,,21:15,2.05,5.07,,,
,,,,21:30,2.3,3.73,,,
,,,,21:45,2,2.5,2.82,,341
,,,,22:00,2,,2.44,,299
,,,,22:15,2.01,,2.47,,289
,,,,22:30,1.99,,2.68,,299
,,,,22:45,2.05,3.29,,3.44,312
,,,,23:00,1.99,3.48,,3.46,317
,,,,23:15,2.04,3.05,,3.53,304
,,,,23:30,2.09,,2.92,,291
,,,,23:45,2.01,3.14,3.12,,289
,,,2,0:00,2.24,2.98,,4.30,265
,,,,0:15,2,2.41,,3.21,234
,,,,0:30,2,,,3.29,252
,,,,0:45,2,,,3.19,249
,,,,1:00,2,,,3.55,257
,,,,1:15,2,,,3.93,257
,,,,1:30,1.99,,,3.91,257
,,,,1:45,1.99,2.85,,3.99,249
,,,,2:00,2,4.92,,4.28,247
,,,,2:15,2.05,2.85,,4.07,228
,,,,2:30,2,3.29,2.98,,215
,,,,2:45,2,2.58,,3.30,213
,,,,3:00,2,,,3.29,226
,,,,3:15,2.01,,,2.90,249
,,,,3:30,2,,2.37,,220
,,,,3:45,,,,,
,,,,4:00,,,,,
,,,,4:15,,,,,
,,,,4:30,,,,,
,,,,4:45,,,,,
,,,,5:00,,,,,
,,,,5:15,,,,,
,,,,5:30,,,,,
,,,,5:45,2,,3.3,,260
,,,,6:00,2.01,2.17,3.12,,220
,,,,6:15,1.99,2.23,3.58,,213
,,,,6:30,2.01,3.29,3.97,,226
,,,,6:45,1.99,3.62,4.42,,220
,,,,7:00,2,3.46,4.62,,213
,,,,7:15,1.99,3.23,4.84,,226
,,,,7:30,2,3.49,5.44,,223
,,,,7:45,2.05,3.7,4.99,,215
,,,,8:00,2.14,3.55,5.22,,213
,,,,8:15,2,3.39,5.2,,215
,,,,8:30,2.49,3.46,5.61,,200
,,,,8:45,2.21,,5.93,,186
,,,,9:00,2.05,3.51,5.99,,179
,,,,9:15,2.31,3.79,6.67,,158
,,,,9:30,2.36,3.64,6.8,,186
,,,,9:45,2.27,3.83,6.53,,173
,,,,10:00,2.26,3.7,6.63,,189
,,,,10:15,2.2,3.99,6.5,,179
,,,,10:30,2.49,4.22,6.67,,312
,,,,10:45,2.47,3.99,6.98,,236
,,,,11:00,2.49,4.3,7.53,,320
,,,,11:15,2.2,4.01,8.3,,281
,,,,11:30,2.3,3.83,9.18,,231
,,,,11:45,2.26,3.6,9.66,,262
,,,,12:00,2.49,3.97,9.86,,236
,,,,12:15,2.42,4.22,9.42,,252
,,,,12:30,2.42,4.3,8.95,,249
,,,,12:45,2.26,4.02,8.95,,218
,,,,13:00,2.31,4.29,8.69,,207
,,,,13:15,2.14,4.14,8.77,,197
,,,,13:30,2.36,4.39,9.62,,294
,,,,13:45,2.42,5.9,10.4,,281
,,,,14:00,2.14,6.24,10.8,,184
,,,,14:15,2.26,6.07,11.2,,260
,,,,14:30,2.14,6.27,10.8,,234
,,,,14:45,2.04,7.95,9.86,,244
,,,,15:00,2.14,8.17,9.14,,315
,,,,15:15,2.14,3.33,9.23,,197
,,,,15:30,2.05,4.53,9.14,,283
,,,,15:45,1.99,3.21,9.42,,184
,,,,16:00,1.99,3.31,9.81,,215
,,,,16:15,2,3.31,10.6,,247
,,,,16:30,1.99,3.23,10.8,,244
,,,,16:45,2.67,,11.1,,236
,,,,17:00,2.79,,10.9,,223
,,,,17:15,2.05,4.14,10.1,,207
,,,,17:30,2,3.82,9.47,,210
,,,,17:45,1.99,4.09,9.62,,205
,,,,18:00,2.05,3.97,8.69,,194
,,,,18:15,2.24,3.91,5.36,,192
,,,,18:30,1.99,4.11,5.22,,218
,,,,18:45,2.05,3.83,4.65,,207
,,,,19:00,2.05,3.3,3.93,,205
,,,,19:15,2.09,3.73,3.81,,228
,,,,19:30,2,3.62,3.62,,255
,,,,19:45,2,2.84,3.62,,231
,,,,20:00,2,2.58,3.6,,234
,,,,20:15,2.04,3.41,3.29,,218
,,,,20:30,2.09,,3.27,,218
,,,,20:45,2,,2.84,,213
,,,,21:00,2.68,,3.21,,312
,,,,21:15,2.31,3.02,,,
,,,,21:30,,,,,
,,,,21:45,,,,,
,,,,22:00,,,,,
,,,,22:15,,,,,
,,,,22:30,1.99,,2.45,,333
,,,,22:45,1.99,,2.59,,307
,,,,23:00,2.01,,2.68,,286
,,,,23:15,2.37,,2.84,,281
,,,,23:30,2,,3,,249
,,,,23:45,2.09,,2.98,,247
,,,3,0:00,2,,2.85,,241
,,,,0:15,1.99,,2.77,,255
,,,,0:30,2.01,,2.78,,257
,,,,0:45,2.05,,2.75,,268
,,,,1:00,1.99,,2.75,,268
,,,,1:15,2.05,,2.98,,260
,,,,1:30,2.05,,3.03,,252
,,,,1:45,2.01,,3.12,,239
,,,,2:00,1.99,,3.3,,228
,,,,2:15,1.99,,3.19,,218
,,,,2:30,2,,2.82,,215
,,,,2:45,2.05,,2.67,,220
,,,,3:00,2,,2.52,,210
,,,,3:15,2.05,,2.64,,210
,,,,3:30,2.13,,2.37,,299
,,,,3:45,,,,,
,,,,4:00,,,,,
,,,,4:15,,,,,
,,,,4:30,,,,,
,,,,4:45,,,,,
,,,,5:00,,,,,
,,,,5:15,,,,,
,,,,5:30,,,,,
,,,,5:45,1.99,,2.56,,257
,,,,6:00,1.99,,3.29,,234
,,,,6:15,2.09,,3.97,,236
,,,,6:30,2.42,,4.72,,231
,,,,6:45,2,2.63,5.2,,236
,,,,7:00,2.01,2.98,5.47,,247
,,,,7:15,1.99,3.14,5.72,,223
,,,,7:30,2.01,,6.18,,244
,,,,7:45,2,3.37,5.9,,213
,,,,8:00,2.31,,5.87,,218
,,,,8:15,2.13,,6.37,,197
,,,,8:30,1.99,3.6,6.18,,179
,,,,8:45,2.19,,6.5,,179
,,,,9:00,2.24,3.14,6.67,,215
,,,,9:15,2.33,3.62,6.5,,179
,,,,9:30,2.08,3.64,6.4,,173
,,,,9:45,2.37,3.48,6.05,,213
,,,,10:00,2.27,,6.18,,205
,,,,10:15,2.24,,6.37,,200
,,,,10:30,2.36,,6.67,,189
,,,,10:45,2.09,3.53,7.2,,192
,,,,11:00,2.49,3.71,7.73,,184
,,,,11:15,2.14,,8.51,,194
,,,,11:30,2.26,4.3,8.95,,299
,,,,11:45,2.14,4.62,9.62,,281
,,,,12:00,2.26,4.62,9.86,,273
,,,,12:15,2.88,5.36,9.86,,283
,,,,12:30,2.36,5.36,10.6,,268
,,,,12:45,2.24,5.64,10.6,,255
,,,,13:00,2.26,5.36,10.1,,249
,,,,13:15,2.36,4.42,9.42,,257
,,,,13:30,2.31,5.22,9.86,,231
,,,,13:45,2.55,,10.6,,213
,,,,14:00,2.31,3.62,9.62,,207
,,,,14:15,2.36,3.53,8.95,,207
,,,,14:30,2.2,3.62,8.95,,207
,,,,14:45,2.14,3.81,8.34,,241
,,,,15:00,2.2,3.62,8.34,,200
,,,,15:15,2.09,4.86,7.93,,247
,,,,15:30,2.09,4.86,7.93,,252
,,,,15:45,2.05,4.62,7.93,,249
,,,,16:00,2.26,4.99,8.13,,249
,,,,16:15,2,5.36,7.73,,218
,,,,16:30,2.26,4.86,7.01,,213
,,,,16:45,2.26,2.98,6.5,,213
,,,,17:00,2.14,2.51,5.09,,210
,,,,17:15,2,2.07,4.2,,194
,,,,17:30,2.36,2.51,4.42,,226
,,,,17:45,2,3.62,3.99,,226
,,,,18:00,2.26,3.37,3.91,,231
,,,,18:15,2,3.62,3.71,,231
,,,,18:30,2,3.29,,,
,,,,18:45,2.26,3.21,3.62,,260
,,,,19:00,2,2.7,3.62,,231
,,,,19:15,2.05,,3.53,,218
,,,,19:30,2,,3.81,,215
,,,,19:45,2.21,,3.53,,220
,,,,20:00,2,,3.29,,215
,,,,20:15,2,,2.98,,215
,,,,20:30,2,,2.64,,236
,,,,20:45,2.26,,2.51,,304
,,,,21:00,2,,2.51,,289
,,,,21:15,2,,2.45,,296
,,,,21:30,2,,2.51,,275
,,,,21:45,2,,2.51,,273
,,,,22:00,2,,2.58,,262
,,,,22:15,2,,2.58,,255
,,,,22:30,2,,2.74,,239
,,,,22:45,2,,2.84,,236
,,,,23:00,2.05,4.74,2.64,,299
,,,,23:15,2.05,3.12,,3.29,291
,,,,23:30,2,,,4.30,273
,,,,23:45,2.09,3.6,,4.18,268
,,,4,0:00,2.04,,,4.28,239
,,,,0:15,2,,,4.30,270
,,,,0:30,2,,,4.30,262
,,,,0:45,2,2.77,,4.20,231
,,,,1:00,2,2.58,,4.20,218
,,,,1:15,2,,,4.99,220
,,,,1:30,2,5.64,,4.09,234
,,,,1:45,2,5.64,,4.30,234
,,,,2:00,2,4.3,3.53,,220
,,,,2:15,2,4.2,,4.99,213
,,,,2:30,2,4.3,,4.30,220
,,,,2:45,2,4.42,,3.37,249
,,,,3:00,2,4.28,,,
,,,,3:15,2,4.3,,,
,,,,3:30,2,5.09,,,
,,,,3:45,2,5.64,,,
,,,,4:00,2.05,5.5,,,
,,,,4:15,2,5.64,,,
,,,,4:30,2,4.2,,,
,,,,4:45,2,2.7,,,
,,,,5:00,,,,,
,,,,5:15,,,,,
,,,,5:30,,,,,
,,,,5:45,2,,3.05,,275
,,,,6:00,2,,3.29,,236
,,,,6:15,2,,3.29,,239
,,,,6:30,2.62,,4.42,,234
,,,,6:45,2.81,,4.86,,213
,,,,7:00,3.02,,4.99,,239
,,,,7:15,2,,5.36,,231
,,,,7:30,2,3.19,5.64,,186
,,,,7:45,2,3.36,5.5,,247
,,,,8:00,2,3.29,5.22,,252
,,,,8:15,2.04,3.37,5.36,,255
,,,,8:30,2.2,3.37,5.75,,299
,,,,8:45,2.05,3.44,6.15,,257
,,,,9:00,2.09,3.62,6.67,,294
,,,,9:15,2.14,3.71,7.34,,283
,,,,9:30,2.09,3.62,8.13,,273
,,,,9:45,,,,,
,,,,10:00,,,,,
,,,,10:15,,,,,
,,,,10:30,,,,,
,,,,10:45,2.06,3.71,9.18,,218
,,,,11:00,2.09,3.53,9.62,,192
,,,,11:15,2.26,3.37,9.18,,228
,,,,11:30,2.24,4.3,9,,296
,,,,11:45,2.35,4.51,9.62,,281
,,,,12:00,2.13,3.71,9.86,,273
,,,,12:15,2.24,4.11,9.42,,186
,,,,12:30,2.22,4.2,9.18,,186
,,,,12:45,2.33,4.15,9.91,,179
,,,,13:00,2.24,3.88,10.6,,181
,,,,13:15,2.06,4.2,10.1,,192
,,,,13:30,2.05,3.81,9.66,,176
,,,,13:45,2.05,3.62,9.23,,186
,,,,14:00,2.36,3.81,9.14,,205
,,,,14:15,2.26,3.62,9,,179
,,,,14:30,2.3,3.49,9.18,,213
,,,,14:45,2,3.81,9.23,,192
,,,,15:00,2.01,3.53,8.77,,173
,,,,15:15,1.97,3.36,8.13,,179
,,,,15:30,2.04,3.22,7.77,,200
,,,,15:45,1.98,3.27,7.53,,236
,,,,16:00,2.55,4.41,7.73,,241
,,,,16:15,2,4.78,7.93,,218
,,,,16:30,2.2,4.26,7.01,,210
,,,,16:45,2.27,3.29,6.53,,213
,,,,17:00,2.16,3.09,6.34,,210
,,,,17:15,2.66,,4.2,,194
,,,,17:30,2.31,3.81,4.44,,223
,,,,17:45,2.01,3.62,3.9,,226
,,,,18:00,2.26,3.37,4.89,,228
,,,,18:15,2,3.62,3.73,,228
,,,,18:30,2,3.3,3.39,,349
,,,,18:45,2.26,3.22,3.64,,260
,,,,19:00,1.99,3.22,3.91,,231
,,,,19:15,2.05,,3.55,,218
,,,,19:30,2.01,,3.81,,215
,,,,19:45,1.99,,3.62,,215
,,,,20:00,2,4.51,,,
,,,,20:15,2,4.13,,,
,,,,20:30,2.04,5.93,,,
,,,,20:45,2.05,6.6,,,
,,,,21:00,2,5.9,,,
,,,,21:15,2,5.01,,,
,,,,21:30,2,3,,,
,,,,21:45,2,4.09,,,
,,,,22:00,4.11,3.51,2.7,,351
,,,,22:15,2,2.68,2.84,,341
,,,,22:30,2,2.56,2.4,,317
,,,,22:45,2,,2.35,,317
,,,,23:00,1.99,3.68,,3.06,315
,,,,23:15,2,2.39,,3.21,289
,,,,23:30,1.99,2.52,,4.30,244
,,,,23:45,2.04,2.98,,4.33,231
,,,5,0:00,1.99,2.59,,3.30,257
,,,,0:15,2,,,3.48,247
,,,,0:30,2,,,3.30,234
,,,,0:45,2,2.35,,3.30,234
,,,,1:00,1.99,2.18,,3.39,220
,,,,1:15,2,2.59,,3.14,226
,,,,1:30,1.99,3.81,,3.22,247
,,,,1:45,2,3.13,,4.42,341
,,,,2:00,2,3.81,,4.30,228
,,,,2:15,2,4.33,,4.42,234
,,,,2:30,2,2.86,,4.01,275
,,,,2:45,2.05,,,4.42,247
,,,,3:00,1.99,,,4.30,207
,,,,3:15,2.01,,,3.93,330
,,,,3:30,2,,,4.30,283
,,,,3:45,1.99,,,4.30,273
,,,,4:00,2,,,4.30,260
,,,,4:15,2,,,3.19,239
,,,,4:30,2,,,2.77,255
,,,,4:45,2.05,,,2.78,260
,,,,5:00,,,,,
,,,,5:15,,,,,
,,,,5:30,2.04,,2.4,,299
,,,,5:45,2.03,3.12,2.66,,262
,,,,6:00,2,3.6,3.53,,228
,,,,6:15,2.36,,3.81,,210
,,,,6:30,1.98,2.85,4.09,,218
,,,,6:45,2,3.29,4.22,,223
,,,,7:00,2.05,3.03,4.62,,236
,,,,7:15,2,3.14,5.01,,231
,,,,7:30,1.99,3.21,5.3,,236
,,,,7:45,2,3.39,5.75,,226
,,,,8:00,1.99,,6.4,,171
,,,,8:15,2.09,3.46,6.8,,215
,,,,8:30,2.19,3.62,7.69,,192
,,,,8:45,2,3.64,7.93,,173
,,,,9:00,2.14,3.71,7.73,,168
,,,,9:15,2.19,,7.23,,176
,,,,9:30,2.13,3.62,7.16,,171
,,,,9:45,2.09,3.73,7.73,,176
,,,,10:00,2.42,3.62,8.51,,189
,,,,10:15,2.12,3.39,8.73,,165
,,,,10:30,2.55,3.53,9.42,,176
,,,,10:45,2.22,3.99,9.42,,184
,,,,11:00,2.49,3.37,9.91,,171
,,,,11:15,2.49,3.81,10.6,,173
,,,,11:30,2.42,3.79,11.1,,168
,,,,11:45,2.42,3.91,11.4,,165
,,,,12:00,2.49,3.62,11.4,,165
,,,,12:15,2.31,3.91,11.1,,260
,,,,12:30,2.49,3.91,11.4,,236
,,,,12:45,2.09,3.81,11.4,,247
,,,,13:00,2.2,4.2,11.1,,231
,,,,13:15,2.26,3.62,11.1,,169
,,,,13:30,2.09,4.62,12,,278
,,,,13:45,2.2,4.42,11.7,,249
,,,,14:00,2.49,4.62,11.4,,247
,,,,14:15,2.14,3.99,10.9,,234
,,,,14:30,2.14,4.09,9.42,,218
,,,,14:45,2.14,4.3,8.95,,210
,,,,15:00,2.05,3.71,8.34,,210
,,,,15:15,2.2,3.53,8.34,,205
,,,,15:30,2.09,4.09,8.34,,205
,,,,15:45,2,3.21,7.73,,207
,,,,16:00,2.31,3.71,6.84,,192
,,,,16:15,2,3.46,6.05,,220
,,,,16:30,2.09,3.05,5.9,,231
,,,,16:45,2,3.05,5.75,,226
,,,,17:00,2,,5.36,,210
,,,,17:15,2.14,4.86,4.74,,207
,,,,17:30,2,5.36,,,
,,,,17:45,2,5.64,4.09,,215
,,,,18:00,2.05,3.12,3.91,,228
,,,,18:15,2.05,2.91,3.71,,226
,,,,18:30,2.2,3.29,3.53,,249
,,,,18:45,2,8.51,,,
,,,,19:00,2,8.69,,,
,,,,19:15,2,7.16,3.46,,234
,,,,19:30,2.31,4.74,3.53,,239
,,,,19:45,2,7.2,3.46,,236
,,,,20:00,2.05,6.84,3.05,,231
,,,,20:15,2.26,,2.77,,252
,,,,20:30,,,,,
,,,,20:45,,,,,
,,,,21:00,,,,,
,,,,21:15,,,,,
,,,,21:30,,,,,
,,,,21:45,,,,,
,,,,22:00,,,,,
,,,,22:15,,,,,
,,,,22:30,,,,,
,,,,22:45,,,,,
,,,,23:00,2.09,,,3.21,317
,,,,23:15,2.09,,,3.21,299
,,,,23:30,,,,,
,,,,23:45,2.09,,,4.30,239
,,,6,0:00,2.05,,,4.30,281
,,,,0:15,2,,,3.81,241
,,,,0:30,2,,,4.42,239
,,,,0:45,2,,,4.20,226
,,,,1:00,2,,,4.30,231
,,,,1:15,2,,,4.42,236
,,,,1:30,2,,,4.86,239
,,,,1:45,2,,,4.20,236
,,,,2:00,2,,,3.37,257
,,,,2:15,2,,,3.44,273
,,,,2:30,2,,,3.53,257
,,,,2:45,2,,,3.53,249
,,,,3:00,2,,,3.53,241
,,,,3:15,2,,,3.70,236
,,,,3:30,2,,,3.12,234
,,,,3:45,2,,,4.30,249
,,,,4:00,2,,,3.81,262
,,,,4:15,2.05,,2.51,,249
,,,,4:30,2.05,,2.51,,247
,,,,4:45,,,,,
,,,,5:00,,,,,
,,,,5:15,,,,,
,,,,5:30,,,,,
,,,,5:45,2.2,,2.98,,273
,,,,6:00,2.26,,3.21,,241
,,,,6:15,2.05,,4.09,,231
,,,,6:30,4.37,,4.99,,231
,,,,6:45,2,2.7,5.36,,223
,,,,7:00,2,2.77,5.36,,207
,,,,7:15,2,3.12,5.75,,197
,,,,7:30,2.05,3.37,6.05,,218
,,,,7:45,2.05,3.46,5.36,,215
,,,,8:00,2.05,3.53,5.5,,207
,,,,8:15,2.09,3.62,5.64,,205
,,,,8:30,2.09,3.37,5.64,,200
,,,,8:45,2,3.29,6.37,,194
,,,,9:00,2,3.46,6.21,,189
,,,,9:15,2.05,3.7,6.67,,197
,,,,9:30,2.31,3.21,6.84,,184
,,,,9:45,2.31,3.12,7.2,,189
,,,,10:00,2.31,3.91,7.93,,228
,,,,10:15,2,3.53,8.73,,207
,,,,10:30,2.36,3.62,8.95,,179
,,,,10:45,2.26,3.97,8.95,,194
,,,,11:00,2.55,3.62,8.34,,176
,,,,11:15,2.49,3.91,8.34,,179
,,,,11:30,2.26,4.2,8.51,,179
,,,,11:45,2.14,3.97,8.73,,231
,,,,12:00,2.31,3.99,8.95,,207
,,,,12:15,2.49,3.97,9.42,,189
,,,,12:30,2.26,3.79,9.62,,275
,,,,12:45,2.26,3.89,9.62,,226
,,,,13:00,2.31,3.7,10.1,,255
,,,,13:15,2.31,4.62,10.6,,268
,,,,13:30,2.49,5.79,10.9,,260
,,,,13:45,2.14,5.09,10.4,,247
,,,,14:00,2.26,5.36,9.42,,249
,,,,14:15,2.05,4.84,9.18,,226
,,,,14:30,2.26,6.05,8.73,,268
,,,,14:45,2.49,6.37,8.73,,270
,,,,15:00,2,6.67,9.18,,270
,,,,15:15,2.05,7.53,9.42,,260
,,,,15:30,2.55,8.51,9.86,,262
,,,,15:45,2,7.93,10.1,,241
,,,,16:00,2.14,6.37,8.95,,215
,,,,16:15,2,4.74,8.51,,220
,,,,16:30,2.05,5.75,8.34,,220
,,,,16:45,2,5.22,7.53,,213
,,,,17:00,2,7.73,6.37,,194
,,,,17:15,2,9.42,,,
,,,,17:30,2,9.37,5.22,,244
,,,,17:45,2.05,5.61,4.99,,231
,,,,18:00,2,7.2,4.86,,228
,,,,18:15,2,4.51,4.99,,226
,,,,18:30,2,3.46,4.86,,228
,,,,18:45,2,4.09,4.86,,218
,,,,19:00,2,3.91,4.74,,215
,,,,19:15,2.31,4.3,4.74,,220
,,,,19:30,2,3.46,4.42,,215
,,,,19:45,2.26,4.74,4.3,,226
,,,,20:00,2.26,4.3,3.99,,247
,,,,20:15,2.36,5.5,3.36,,231
,,,,20:30,2.31,5.09,3.99,,330
,,,,20:45,2.26,,2.58,,239
,,,,21:00,2.05,5.5,,,
,,,,21:15,2.05,5.64,,,
,,,,21:30,,,,,
,,,,21:45,2.95,7.16,,,
,,,,22:00,2,,2.56,,317
,,,,22:15,2.14,,2.7,,330
,,,,22:30,2,,2.77,,315
,,,,22:45,2.14,,2.84,,294
,,,,23:00,2.14,,2.95,,262
,,,,23:15,2,3.12,2.91,,257
,,,,23:30,2,5.64,2.91,,241
,,,,23:45,2,4.3,2.84,,275
,,,7,0:00,2,,2.82,,270
,,,,0:15,2.26,,,3.83,283
,,,,0:30,1.99,,,3.53,281
,,,,0:45,1.99,,,3.55,289
,,,,1:00,2,,,3.64,275
,,,,1:15,2.09,,,3.71,249
,,,,1:30,2,,,3.71,234
,,,,1:45,2,,,3.64,226
,,,,2:00,2,,,3.71,218
,,,,2:15,2,,,4.20,220
,,,,2:30,2.01,,,3.70,249
,,,,2:45,2.01,2.78,,3.27,260
,,,,3:00,2,3.23,,4.11,247
,,,,3:15,2,,,4.30,231
,,,,3:30,2,,,3.70,231
,,,,3:45,1.99,2.7,,4.01,226
,,,,4:00,2.01,3.68,,3.64,210
,,,,4:15,2,,,3.29,205
,,,,4:30,,,,,
,,,,4:45,,,,,
,,,,5:00,2.05,3.46,,,
,,,,5:15,2,4.29,,,
,,,,5:30,1.99,3.84,,,
,,,,5:45,1.99,3.12,2.84,,247
,,,,6:00,1.99,3.73,3.36,,218
,,,,6:15,2.08,3.3,4.07,,228
,,,,6:30,1.99,3.33,4.65,,218
,,,,6:45,2,3.41,4.96,,194
,,,,7:00,2,2.93,5.07,,197
,,,,7:15,2,2.95,5.07,,192
,,,,7:30,2.05,3.02,5.22,,192
,,,,7:45,2.26,3.04,4.74,,179
,,,,8:00,2.14,3.39,4.84,,176
,,,,8:15,2.14,3.21,5.01,,176
,,,,8:30,2.26,3.51,5.36,,176
,,,,8:45,2.09,3.41,5.47,,176
,,,,9:00,2.24,3.68,5.64,,179
,,,,9:15,2.41,4.01,6.02,,184
,,,,9:30,2.3,3.62,6.5,,173
,,,,9:45,2.6,3.79,7.31,,176
,,,,10:00,2.08,3.73,8.17,,176
,,,,10:15,2.42,3.88,9,,179
,,,,10:30,2.36,4.17,9.57,,176
,,,,10:45,2.42,3.91,10.6,,179
,,,,11:00,2.14,3.84,11.4,,173
,,,,11:15,2.35,3.81,11.8,,189
,,,,11:30,2.36,3.84,12,,176
,,,,11:45,2.47,3.82,12,,168
,,,,12:00,2.3,4.2,11.8,,173
,,,,12:15,2.26,3.39,10.9,,179
,,,,12:30,2.35,4.48,10,,197
,,,,12:45,2.16,4.51,9.62,,184
,,,,13:00,2.31,3.81,9.62,,179
,,,,13:15,2.2,4.28,9.57,,173
,,,,13:30,2.19,4.3,9.81,,192
,,,,13:45,2.31,4.2,10.4,,197
,,,,14:00,2.2,3.71,10.9,,186
,,,,14:15,2.26,4.53,11.5,,184
,,,,14:30,2.31,3.88,11.5,,189
,,,,14:45,2.1,3.47,10.6,,184
,,,,15:00,2,3.49,10.1,,197
,,,,15:15,2.06,3.88,9.86,,200
,,,,15:30,1.99,6.93,9.86,,249
,,,,15:45,2,5.61,10.2,,239
,,,,16:00,2,3.49,9.57,,234
,,,,16:15,1.99,3.7,8.91,,215
,,,,16:30,2.05,3.84,9.18,,207
,,,,16:45,2,4.14,8.91,,213
,,,,17:00,2,4.09,7.73,,207
,,,,17:15,2,3.37,7.23,,205
,,,,17:30,2.05,3.83,6.8,,194
,,,,17:45,2.04,2.45,6.5,,205
,,,,18:00,2,3.46,6.34,,228
,,,,18:15,2,4.09,6.7,,247
,,,,18:30,2,4.11,6.98,,228
,,,,18:45,2.26,3.97,7.2,,213
,,,,19:00,2.05,3.99,6.84,,213
,,,,19:15,2,4.36,6.08,,205
,,,,19:30,2.3,4.39,,,
,,,,19:45,2.27,4.11,,,
,,,,20:00,1.99,4.12,,,
,,,,20:15,1.99,4.11,,,
,,,,20:30,1.99,3.55,,,
,,,,20:45,1.99,3.62,,,
,,,,21:00,1.99,3.73,,,
,,,,21:15,1.99,3.73,,4.30,239
,,,,21:30,1.99,3.73,,,
,,,,21:45,2.2,3.7,,,
,,,,22:00,2.04,3.55,,4.22,231
,,,,22:15,2,3.13,,3.55,299
,,,,22:30,2,3.7,,,
,,,,22:45,2,5.04,,3.14,273
,,,,23:00,2,5.77,,3.05,310
,,,,23:15,2,5.18,,3.14,310
,,,,23:30,1.99,3.04,,4.22,252
,,,,23:45,2,3.41,,4.20,234
,,,8,0:00,2.05,3.7,,4.30,218
,,,,0:15,2,5.04,,4.28,220
,,,,0:30,1.99,3.73,,3.99,247
,,,,0:45,2,5.04,,4.30,283
,,,,1:00,2,4.26,,4.30,252
,,,,1:15,2,,,5.22,234
,,,,1:30,2,5.45,,5.64,228
